name,restaurand_id,price,rate,image
"Burrito au poulet",5,"https://www.oldelpaso.fr/-/media/project/gmi/oldelpaso/oldelpaso-fr/oepp/nri/easy-chicken-burrito/easy-chicken-burrito-hero.png?rev=79ec0bfe7b6b49708acaabe1054f8770",25,4
"Burrito végétarien",5,"https://www.santamariaworld.com/optimized/maximum/globalassets/_recipes/tex-mex/black-beans-and-goat-cheese-burrito.jpg",10,4
"Quesadilla au bœuf",5,"https://fr.canadabeef.ca/wp-content/uploads/sites/2/2017/03/Canadian-Beef-Grilled-Mexican-Quesadilla.jpg",24,5
"Quesadilla au poulet",5,"https://brandsitesplatform-res.cloudinary.com/image/fetch/w_1540,c_scale,q_auto:eco,f_auto,fl_lossy,dpr_1.0,e_sharpen:85/https://assets.brandplatform.generalmills.com%2F-%2Fmedia%2Fproject%2Fgmi%2Foldelpaso%2Foldelpaso-fr%2Foepp%2Fnri%2Fquesadillas-au-poulet-facon-old-el-paso-hero-fr.png%3Fw%3D480%26rev%3D65691f19af804d598f938d0125b8edcd%201540w",21,3
"Quesadilla végétarienne",5,"https://freethepickle.fr/wp-content/uploads/2018/09/img_6783.jpg",18,1
"Chicken tenders",5,"https://www.allrecipes.com/thmb/YwJvX75IUx8uQ7PKz2eTDjCoLvY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16669-fried-chicken-tenders-DDMFS-4x3-219f03b885be40139c8d93bef21d0a50.jpg",9,4
"Cheese sticks",5,"https://natashaskitchen.com/wp-content/uploads/2023/05/Cheese-Sticks-SQ.jpg",9,1
"Sandwich au fromage grillé",5,"https://lapommeduquebec.ca/wp-content/uploads/2014/09/SandwichFromagePommesP60web.jpg",21,2
"Club sandwich au poulet",5,"https://cac.img.pmdstatic.net/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Fcac.2F2018.2F09.2F25.2F6ef6ec4a-2228-4837-a8f7-3ee504618ca9.2Ejpeg/750x562/quality/80/crop-from/center/cr/wqkgTWFyaWVsbGUgLyBTdWNyw6kgU2Fsw6kgLyBDdWlzaW5lIEFjdHVlbGxl/club-sandwich-au-poulet.jpeg",13,2
"Club sandwich végétarien",5,"https://www.lafeestephanie.com/wp-content/uploads/2017/05/17-1.jpg",19,4
